Index,subindex,Cluster,Name,Country,MW install,PG,D,WT densi,AreaR_Afarm,Ht,A,Href,Nt,lambda,k,Average wind speed,Nrowscale parameter,Nturb_effective,Nturb_frontal_area,CF,Wind farm density,Year production TWh/year,Source power,Coordinates
1,0,0,Arkona,DE,385,6,154,322,0.0302,102,37,100,60,10.75,2.4,9.52968265832245,2.5,60, 10.0 ,40.9654272667971, 10.41 ,1.38,Germany sheet,54°46′59″N 14°07′16″E
2,0,0,Wikinger,DE,350,5,135,349,0.0310,97.5,32.3,100,70,10.75,2.4,9.52968265832245,2.5,70, 9.0 ,38.9041095890411, 10.84 ,1.19,Germany sheet,54°50′2″N 14°4′5″E
3,0,0,Kriegers Flak,DK,604.8,8.4,167,383,0.0088,107,179,100,72,11,2.4,9.75130318526019,2.5,72, 12.0 ,44.1885203993999, 3.38 ,2.34,Danish wind farms sheet,55°04′0″N 13°01′0″E
4,1,0,Baltic 1,DE,48.3,2.3,93,339,0.0204,67,7,100,21,10.8,2.4,9.57400676371,2.5,21, 7.0 ,42.5663648324433, 6.90 ,0.18,Germany sheet,54°36′50″N 12°40′0″E
5,2,0,Baltic 2,DE,288,3.6,120,318,0.0335,78.2,27,100,80,10.8,2.4,9.57400676371,2.5,80, 15.0 ,42.5663648324433, 10.67 ,1.07,Germany sheet,55°00′00″N 13°12′00″E
6,0,0,Rodsand 1,DK,165.6,2.3,82,436,0.0173,69,22,100,72,10.8,2.4,9.57400676371,2.5,72, 12.0 ,35.6371196628762, 7.53 ,0.52,Danish wind farms sheet,54°33′0″N 11°42′36″E
7,0,0,Rodsand 2,DK,207,2.3,93,339,0.0175,68,35,100,90,10.85,2.4,9.61833086909755,2.5,90, 19.0 ,42.969617251251, 5.91 ,0.78,Danish wind farms sheet,54°33′36″N 11°33′0″E
8,0,0,Lillgrund,SE,110.4,2.3,93,339,0.0679,65,4.8,100,48,10.5,2.4,9.30806213138472,2.5,48, 9.0 ,31.0204486797697, 23.00 ,0.30,Jens paper,55°31′0″N 12°47′0″E
9,0,0,Anholt 1,DK,399.6,3.6,120,318,0.0140,81.6,89.4,100,111,11,2.4,9.75130318526019,2.5,111, 21.9 ,48.4774706635028, 4.47 ,1.70,Danish wind farms sheet,56°36′00″N 11°12′36″E
10,0,0,Horns Rev 1,DK,160,2,80,398,0.0201,70,20,100,80,11.5,2.4,10.1945442391356,2.5,80, 15.0 ,39.7255973122452, 8.00 ,0.56,Danish wind farms sheet,55°31′47″N 7°54′22″E
11,0,0,Horns Rev 2,DK,209.3,2.3,93,339,0.0187,68,33,100,91,11.5,2.4,10.1945442391356,2.5,91, 19.0 ,46.6281151127399, 6.34 ,0.85,Danish wind farms sheet,55°36′00″N 7°35′24″E
12,0,0,Horns Rev 3,DK,406.7,8,164,379,0.0118,112,88,100,49,11.5,2.4,10.1945442391356,2.5,49, 11.0 ,49.3679198042379, 4.62 ,1.76,Danish wind farms sheet,55°42′00″N 7°41′20″E
13,0,0,DanTysk,DE,288,3.6,120,318,0.0139,88,64.9,100,80,11.3,2.4,10.0172478175855,2.5,80, 15.0 ,47.5986627527723, 4.44 ,1.20,Germany sheet,55°8′24″N 7°12′0″E
14,0,0,Sandbank,DE,288,4,130,301,0.0159,94.8,60,100,72,11.35,2.4,10.061571922973,2.5,72, 15.2 ,48.896499238965, 4.80 ,1.23,Germany sheet,55°11′30″N 06°51′30″E
15,0,0,Butendiek,DE,288,3.6,120,318,0.0215,91,42,100,80,11.26,2.4,9.98178853327543,2.5,80, 14.0 ,46.6662438694402, 6.86 ,1.18,Germany 2nd table sheet,55°00′49″N 7°46′07″E
16,0,1,Amrumbank West,DE,302,3.78,120,334,0.0283,90,32,100,80,11.2,2.4,9.92859960681037,2.5,80, 15.0 ,39.9867376870008, 9.44 ,1.06,Germany 2nd table sheet,54°30′00″N 7°41′0″E
17,0,1,Kaskasi,DE,342,9,167,411,0.0478,107.5,17.4,100,38,11.2,2.4,9.92859960681037,2.5,38, 4.0 ,31.2091110577051, 19.66 ,0.94,Germany 2nd table sheet,54°29′00″N 7°41′0″E
18,0,1,Nordsee Ost,DE,295.2,6.15,126,493,0.0166,92,36,100,48,11.2,2.4,9.92859960681037,2.5,48, 4.0 ,33.6488402392178, 8.20 ,0.87,Germany 2nd table sheet,54°26′00″N 7°41′0″E
19,0,1,Meerwind Sud/Ost,DE,288,3.6,120,318,0.0220,89,41.1,100,80,11.2,2.4,9.92859960681037,2.5,80, 12.0 ,43.244228817859, 7.01 ,1.09,Germany 2nd table sheet,54°23′00″N 7°41′0″E
20,0,2,Global Tech I,DE,400,5,116,473,0.0206,82,41,100,80,11.22,2.4,9.94632924896539,2.5,80, 7.0 ,34.4463470319635, 9.76 ,1.21,Germany 2nd table sheet,54°30′0″N 6°21′30″E
21,0,2,Albatros,DE,112,7,154,376,0.0271,105,11,100,16,11.22,2.4,9.94632924896539,2.5,16, 2.0 ,40.2346298108284, 10.18 ,0.39,Germany 2nd table sheet,54°29′1″N 6°15′8″E
22,0,2,Hohe See,DE,497,7,154,376,0.0315,105,42,100,71,11.22,2.4,9.94632924896539,2.5,71, 9.0 ,37.6172560477017, 11.83 ,1.64,Germany sheet,54°26′0″N 6°19′0″E
23,0,3,Deutsche Bucht,DE,252,8.4,167,383,0.0300,100,22.6,100,31,11.2,2.4,9.92859960681037,2.5,31, 7.0 ,42.8082191780822, 11.15 ,0.95,Germany 2nd table sheet,54°18′18″N 5°47′56″E
24,0,3,Veja Mate,DE,402,6,154,322,0.0244,103.3,51.2,100,67,11.22,2.4,9.94632924896539,2.5,67, 6.0 ,42.7561583255715, 7.85 ,1.51,Germany 2nd table sheet,54°19′00″N 5°52′0″E
25,0,3,BARD,DE,400,5,122,428,0.0166,90,56.3,100,80,11.22,2.4,9.94632924896539,2.5,80, 6.0 ,37.8139269406393, 7.10 ,1.33,Germany sheet,54°21′18″N 5°58′48″E
26,0,4,Gode 1 and 2,DE,582,6,154,322,0.0246,104,73.3,100,97,11.15,2.4,9.88427550142282,2.5,97, 8.0 ,38.1021871630543, 7.94 ,1.94,Germany sheet,54°03′00″N 07°01′00″E
27,0,4,Nordsee One,DE,332,6.2,126,497,0.0163,90,41.3,100,54,11.15,2.4,9.88427550142282,2.5,54, 9.0 ,37.0454420421412, 8.04 ,1.08,Germany 2nd table sheet,53°58′44″N 6°48′50″E
28,0,4,Borkum Riffgrund I,DE,312,4,120,354,0.0245,83,36,100,78,11.22,2.4,9.94632924896539,2.5,78, 2.0 ,33.4782226905515, 8.67 ,0.92,Germany sheet,53°58′01″N 6°33′14″E
29,0,4,Borkum Riffgrund II,DE,450,8,164,379,0.0329,105,36,100,56,11.22,2.4,9.94632924896539,2.5,56, 9.0 ,33.2825976661593, 12.50 ,1.31,Germany sheet,53°58′0″N 6°29′44″E
30,0,4,Trianel I and II,DE,403.2,5.58,133.2,400,0.0180,90.0,55.6,100,72,11.22,2.4,9.94632924896539,2.5,72, 6.5 ,34.3172157944919, 7.25 ,1.21,Germany 2nd table sheet,54°2′30″N 6°28′0″E
31,0,4,Merkur,DE,396,6,150,340,0.0248,100,47,100,66,11.22,2.4,9.94632924896539,2.5,66, 5.0 ,41.5488535644717, 8.43 ,1.44,Germany 2nd table sheet,54°2′0″N 6°33′0″E
32,0,4,Alpha Ventus,DE,60,5,121,435,0.0345,92,4,100,12,11.22,2.4,9.94632924896539,2.5,12, 1.0 ,35.3881278538813, 15.00 ,0.19,Germany 2nd table sheet,54°0′30″N 6°35′54″E
33,0,0,Riffgat,DE,113.4,3.78,120,334,0.0565,90,6,100,30,11,2.4,9.75130318526019,2.5,30, 7.0 ,37.3772881383231, 18.90 ,0.37,Germany 2nd table sheet,53°41′0″N 6°29′00″E
34,0,0,Gemini,NL,600,4,130,301,0.0284,89,70,100,150,11.22,2.4,9.94632924896539,2.5,150, 26.0 ,45.4604261796043, 8.57 ,2.39,Dutch sheet,54°02′00″N 5°57′47″E
35,0,0,Fryslan,NL,382.7,4.3,130,324,0.0338,115,35,100,89,10.7,2.4,9.48535855293491,2.5,89, 12.0 ,37.6590030222655, 10.93 ,1.26,Dutch sheet,53°0′0″N 5°16′0″E
36,1,0,Princess Amalia,NL,120,2,80,398,0.0207,80,14.6,100,60,10.6,2.4,9.39671034215981,2.5,60, 11.0 ,43.0030624782234, 8.22 ,0.45,Dutch sheet,52°35′22″N 4°12′23″E
37,2,0,Luchterduinen,NL,129,3,112,305,0.0169,81,25,100,43,10.6,2.4,9.39671034215981,2.5,43, 10.0 ,43.0030624782234, 5.16 ,0.49,Dutch sheet,52°25′0″N 4°10′0″E
38,0,5,Borssele I-II,NL,752,8,167,365,0.0160,116,128.3,100,94,10.6,2.4,9.39671034215981,2.5,94, 8.0 ,41.0068331228343, 5.86 ,2.70,Dutch sheet,51°38′24″N 3°4′12″E
39,0,5,Norther,BE,370,8,164,379,0.0211,98,44,100,44,10.6,2.4,9.39671034215981,2.5,44, 6.0 ,38.5968159940763, 8.41 ,1.25,Belgium wind farms sheet,51°31′41″N 3°01′55″E
40,0,5,Thortonbank,BE,325,6.01851851851852,126,483,0.0339,95,19.84,100,54,10.6,2.4,9.39671034215981,2.5,54, 11.0 ,32.9352534831987, 16.38 ,0.94,Belgium wind farms sheet,51°33′06″N 2°58′01″E
41,0,5,Rentel,BE,309,7.35,154,395,0.0344,119,22.72,100,42,10.6,2.4,9.39671034215981,2.5,42, 6.0 ,35.4657090925212, 13.60 ,0.96,Belgium wind farms sheet,51°35′28″N 2°56′38″E
42,0,5,Northwind,BE,216,3,112,305,0.0489,71,14.5,100,72,10.6,2.4,9.39671034215981,2.5,72, 13.0 ,37.963667625007, 14.90 ,0.72,Belgium wind farms sheet,51°37′00″N 2°54′00″E
43,0,5,Nobelwind,BE,165,3.3,112,335,0.0249,79,19.8,100,50,10.6,2.4,9.39671034215981,2.5,50, 8.0 ,39.8159678981597, 8.33 ,0.58,Belgium wind farms sheet,51°39′47″N 2°50′02″E
44,0,5,Belwind Phase 1,BE,171,3,90,472,0.0210,72,17,100,56,10.6,2.4,9.39671034215981,2.5,56, 9.0 ,33.3713109087618, 10.06 ,0.50,Belgium wind farms sheet,51°40′0″N 2°48′0″E
45,0,5,Northwester 2,BE,219,9.5,164,450,0.0405,105,12,100,23,10.6,2.4,9.39671034215981,2.5,23, 3.0 ,31.4839140134693, 18.25 ,0.60,Belgium wind farms sheet,51°41′15″N 2°44′56″E
46,0,5,Seamade Mermaid,BE,235,8.4,167,383,0.0367,109,16.7,100,28,10.6,2.4,9.39671034215981,2.5,28, 6.0 ,38.1327115515399, 14.07 ,0.79,Source files Belgium,51°42′15″N 2°40′56″E
47,0,5,Seamade Seastar,BE,252,8.4,167,383,0.0336,109,19.54,100,30,10.6,2.4,9.39671034215981,2.5,30, 4.0 ,34.7146722717499, 12.90 ,0.77,Source files Belgium,51°38′47″N 2°52′00″E
48,0,0,Rampion,UK,400,3.45,116,326,0.0170,80,72,100,116,10.56,2.4,9.36125105784978,2.5,116, 16.0 ,42.2588470319635, 5.56 ,1.48,Uk wind farms sheet,50°40′00″N 0°16′00″W
49,0,0,Thanet,UK,300,3,90,472,0.0182,70,35,100,100,10.6,2.4,9.39671034215981,2.5,100, 17.0 ,32.8210982320571, 8.57 ,0.86,Uk wind farms sheet,51°26′0″N 1°38′0″E
50,0,0,London Array,UK,630,3.6,120,318,0.0162,87,122,100,175,10.57,2.4,9.37011587892729,2.5,175, 20.0 ,40.7226208596072, 5.16 ,2.25,Uk wind farms sheet,51°38′38″N 1°33′13″E
51,0,0,Gunfleet Sand,UK,172.8,3.6,107,400,0.0317,75,13.6,100,48,10.62,2.4,9.41443998431483,2.5,48, 9.0 ,35.4702480844033, 12.71 ,0.54,Uk wind farms sheet,51°43′0″N 01°12′50″E
52,0,6,Galloper,UK,353,6.3,154,338,0.0060,103,174,100,56,10.7,2.4,9.48535855293491,2.5,56, 5.0 ,46.0178250352491, 2.03 ,1.42,Uk wind farms sheet,51°52′48″N 2°2′24″E
53,0,6,Greater Gabbard,UK,504,3.6,107,400,0.0086,77.5,147,100,140,10.7,2.4,9.48535855293491,2.5,140, 12.0 ,40.2343724261532, 3.43 ,1.78,Uk wind farms sheet,51°56′0″N 1°53′0″E
54,0,0,East Anglia One,UK,714,7,154,376,0.0063,90,300,100,102,10.75,2.4,9.52968265832245,2.5,102, 16.0 ,45.2677265731255, 2.38 ,2.83,Uk wind farms sheet,52°14′04″N 02°29′18″E
55,0,0,Lincs,UK,270,3.6,120,318,0.0242,100,35,100,75,11,2.4,9.75130318526019,2.5,75, 8.0 ,41.3354755059474, 7.71 ,0.98,Uk wind farms sheet,53°11′0″N 0°29′0″E
56,0,0,Lynn and Inner Dowsing,UK,194,3.6,107,400,0.0286,80,17,100,54,11,2.4,9.75130318526019,2.5,54, 8.0 ,34.851816732907, 11.41 ,0.59,Uk wind farms sheet,53°07′39″N 0°26′10″E
57,0,0,Humber Gateway,UK,219,3,112,305,0.0205,80,35,100,73,11.1,2.4,9.83995139603528,2.5,73, 10.0 ,42.6974520964951, 6.26 ,0.82,Uk wind farms sheet,53°38′38″N 0°17′35″E
58,0,0,Westermost Rough,UK,210,6,154,322,0.0186,100,35,100,35,11.1,2.4,9.83995139603528,2.5,35, 8.0 ,47.5258596589321, 6.00 ,0.87,Uk wind farms sheet,53°48′18″N 0°8′56″E
59,0,0,Sheringham Shoal,UK,317,3.6,107,400,0.0226,80,35,100,88,11,2.4,9.75130318526019,2.5,88, 16.0 ,37.8804247478894, 9.06 ,1.05,Uk wind farms sheet,53°07′0″N 1°08′0″E
60,0,0,Dudgeon,UK,402,6,154,322,0.0227,110,55,100,67,11.05,2.4,9.79562729064773,2.5,67, 12.0 ,45.6242380184314, 7.31 ,1.61,Uk wind farms sheet,53°15′00″N 1°23′00″E
61,0,0,Race Bank,UK,573,6,154,322,0.0226,100,75,100,91,11.1,2.4,9.83995139603528,2.5,91, 15.0 ,43.6061105931292, 7.64 ,2.19,Uk wind farms sheet,53°16′30″N 0°50′30″E
62,0,0,Triton Knoll,UK,857,9.5,164,450,0.0131,105,145,100,90,11.1,2.4,9.83995139603528,2.5,90, 16.0 ,40.1741233889058, 5.91 ,3.02,Uk wind farms sheet,53°30′00″N 0°48′0″E
63,0,7,Hornsea 1,UK,1218,7,154,376,0.0080,113,407,100,174,11.22,2.4,9.94632924896539,2.5,174, 20.0 ,45.4301347369368, 2.99 ,4.85,Uk wind farms sheet,53°53′06″N 01°47′28″E
64,0,7,Hornsea 2,UK,1386,8,164,379,0.0075,118,462,100,165,11.22,2.4,9.94632924896539,2.5,165, 16.0 ,42.227559350847, 3.00 ,5.13,Uk wind farms sheet,53°55′12″N 01°33′36″E
65,0,8,Moray East,UK,950,9.5,164,450,0.0072,105,295,100,100,11.4,2.4,10.1058960283606,2.5,100, 12.0 ,40.4942879178428, 3.22 ,3.37,Uk wind farms sheet,58°25′17″N 2°40′12″W
66,0,8,Beatrice extension,UK,588,7,154,376,0.0119,100,131,100,84,11.06,2.4,9.80449211172524,2.5,84, 13.0 ,43.4627536598462, 4.49 ,2.24,Uk wind farms sheet,58°30′17″N 02°50′12″W
67,0,9,Walney Extension,UK,659,7.6,159,383,0.0122,115.5,142,100,87,11.15,2.4,9.88427550142282,2.5,87, 13.0 ,45.2270322843924, 4.64 ,2.61,Uk wind farms sheet,54°5′17″N 3°44′17″W
68,0,9,West of Duddon Sands,UK,389,3.6,120,318,0.0182,90,67,100,108,11.15,2.4,9.88427550142282,2.5,108, 12.0 ,44.28610742658, 5.81 ,1.51,Uk wind farms sheet,53°54′00″N 3°28′0″W
69,0,9,Walney 1,UK,183.6,3.6,107,400,0.0164,83.5,28,100,51,11.15,2.4,9.88427550142282,2.5,51, 4.0 ,39.025842029692, 6.56 ,0.63,Uk wind farms sheet,53°58′38″N 3°27′27″W
70,0,9,Walney 2,UK,183.6,3.6,120,318,0.0128,90,45,100,51,11.15,2.4,9.88427550142282,2.5,51, 5.0 ,44.1916365734523, 4.08 ,0.71,Uk wind farms sheet,54°4′52″N 3°36′18″W
71,0,0,Gwynt y Môr,UK,576,3.6,107,400,0.0180,98,80,100,160,10.8,2.4,9.57400676371,2.5,160, 8.0 ,34.0582984525621, 7.20 ,1.72,Uk wind farms sheet,53°27′00″N 3°35′00″W
72,0,0,Robin Rigg,UK,174,3,90,472,0.0284,98,13,100,58,10.62,2.4,9.41443998431483,2.5,58, 12.0 ,35.513284804735, 13.38 ,0.54,Uk wind farms sheet,54°45′0″N 3°43′12″W
