Wind Farm,phi_table_s1
Arkona,1.34
Wikinger,1.43
Kriegers Flak,1.24
Baltic 1,1.2
Baltic 2,1.36
Rodsand 1,1.45
Rodsand 2,1.3
Lillgrund,1.54
Anholt 1,1.23
Horns Rev 1,1.33
Horns Rev 2,1.24
Horns Rev 3,1.17
DanTysk,1.19
Sandbank,1.15
Butendiek,1.25
Amrumbank West,1.3
Kaskasi,1.54
Nordsee Ost,1.48
Meerwind Sud/Ost,1.28
Global Tech I,1.52
Albatros,1.33
Hohe See,1.41
Deutsche Bucht,1.29
Veja Mate,1.33
BARD,1.43
Gode 1 and 2,1.36
Nordsee One,1.42
Borkum Riffgrund I,1.49
Borkum Riffgrund II,1.37
Trianel I and II,1.4
Merkur,1.38
Alpha Ventus,1.48
Riffgat,1.33
Gemini,1.28
Fryslan,1.39
Princess Amalia,1.42
Luchterduinen,1.23
Borssele I-II,1.39
Norther,1.41
Thortonbank,1.52
Rentel,1.46
Northwind,1.45
Nobelwind,1.39
Belwind Phase 1,1.54
Northwester 2,1.57
Seamade Mermaid,1.38
Seamade Seastar,1.46
Rampion,1.36
Thanet,1.52
London Array,1.36
Gunfleet Sand,1.47
Galloper,1.23
Greater Gabbard,1.39
East Anglia One,1.27
Lincs,1.35
Lynn and Inner Dowsing,1.46
Humber Gateway,1.29
Westermost Rough,1.19
Sheringham Shoal,1.39
Dudgeon,1.25
Race Bank,1.28
Triton Knoll,1.34
Hornsea 1,1.23
Hornsea 2,1.23
Moray East,1.27
Beatrice extension,1.27
Walney Extension,1.26
West of Duddon Sands,1.3
Walney 1,1.41
Walney 2,1.25
Gwynt y Môr,1.49
Robin Rigg,1.47
